uri,notation,label_en,label_sv
https://id.kb.se/term/uka/30203,,Cancer and Oncology,Cancer och onkologi
https://id.kb.se/term/uka/30204,,Dermatology and Venereal Diseases,Dermatologi och venereologi
https://id.kb.se/term/uka/30205,,Endocrinology and Diabetes,Endokrinologi och diabetes
https://id.kb.se/term/uka/30206,,Cardiac and Cardiovascular Systems,Kardiologi
https://id.kb.se/term/uka/30207,,Neurology,Neurologi
https://id.kb.se/term/uka/30208,,"Radiology, Nuclear Medicine and Medical Imaging",Radiologi och bildbehandling
https://id.kb.se/term/uka/30209,,Infectious Medicine,Infektionsmedicin
https://id.kb.se/term/uka/30210,,Rheumatology and Autoimmunity,Reumatologi och inflammation
https://id.kb.se/term/uka/30211,,Orthopaedics,Ortopedi
https://id.kb.se/term/uka/30212,,Surgery,Kirurgi
https://id.kb.se/term/uka/30213,,Gastroenterology and Hepatology,Gastroenterologi
https://id.kb.se/term/uka/30214,,Urology and Nephrology,Urologi och njurmedicin
https://id.kb.se/term/uka/30215,,Psychiatry,Psykiatri
https://id.kb.se/term/uka/30216,,Dentistry,Odontologi
https://id.kb.se/term/uka/30217,,Ophthalmology,Oftalmologi
https://id.kb.se/term/uka/30218,,Otorhinolaryngology,Oto-rhino-laryngologi
https://id.kb.se/term/uka/30219,,Respiratory Medicine and Allergy,Lungmedicin och allergi
https://id.kb.se/term/uka/30220,,"Obstetrics, Gynaecology and Reproductive Medicine",Reproduktionsmedicin och gynekologi
https://id.kb.se/term/uka/30221,,Pediatrics,Pediatrik
https://id.kb.se/term/uka/30222,,Geriatrics,Geriatrik
https://id.kb.se/term/uka/30223,,Clinical Laboratory Medicine,Klinisk laboratoriemedicin
https://id.kb.se/term/uka/30224,,General Practice,Allmänmedicin
https://id.kb.se/term/uka/30299,,Other Clinical Medicine,Annan klinisk medicin
https://id.kb.se/term/uka/303,,Health Sciences,Hälsovetenskap
https://id.kb.se/term/uka/30301,,"Health Care Service and Management, Health Policy and Services and Health Economy","Hälso- och sjukvårdsorganisation, hälsopolitik och hälsoekonomi"
https://id.kb.se/term/uka/30302,,"Public Health, Global Health, Social Medicine and Epidemiology","Folkhälsovetenskap, global hälsa, socialmedicin och epidemiologi"
https://id.kb.se/term/uka/30303,,Occupational Health and Environmental Health,Arbetsmedicin och miljömedicin
https://id.kb.se/term/uka/30304,,Nutrition and Dietetics,Näringslära
https://id.kb.se/term/uka/30305,,Nursing,Omvårdnad
https://id.kb.se/term/uka/30306,,Occupational Therapy,Arbetsterapi
https://id.kb.se/term/uka/30307,,Physiotherapy,Sjukgymnastik
https://id.kb.se/term/uka/30308,,Sport and Fitness Sciences,Idrottsvetenskap
https://id.kb.se/term/uka/30309,,Substance Abuse,Beroendelära
https://id.kb.se/term/uka/30310,,Medical Ethics,Medicinsk etik
https://id.kb.se/term/uka/30399,,Other Health Sciences,Annan hälsovetenskap
https://id.kb.se/term/uka/304,,Medical Biotechnology,Medicinsk bioteknologi
https://id.kb.se/term/uka/30401,,"Medical Biotechnology (focus on Cell Biology (incl. Stem Cell Biology), Molecular Biology, Microbiology, Biochemistry or Biopharmacy)","Medicinsk bioteknologi (inriktn. mot cellbiologi (inkl. stamcellsbiologi), molekylärbiologi, mikrobiologi, biokemi eller biofarmaci)"
https://id.kb.se/term/uka/30402,,Biomedical Laboratory Science/Technology,Biomedicinsk laboratorievetenskap/teknologi
https://id.kb.se/term/uka/30403,,Biomaterials Science,Biomaterialvetenskap
https://id.kb.se/term/uka/30499,,Other Medical Biotechnology,Annan medicinsk bioteknologi
https://id.kb.se/term/uka/305,,Other Medical and Health Sciences,Annan medicin och hälsovetenskap
https://id.kb.se/term/uka/30501,,Forensic Science,Rättsmedicin
https://id.kb.se/term/uka/30502,,"Gerontology, specialising in Medical and Health Sciences (specialising in Social Sciences to be 50999)","Gerontologi, medicinsk/hälsovetenskaplig inriktning  (Samhällsvetenskaplig inriktn.under 50999)"
https://id.kb.se/term/uka/30599,,Other Medical and Health Sciences not elsewhere specified,Övrig annan medicin och hälsovetenskap
https://id.kb.se/term/uka/4,,Agricultural and Veterinary sciences,Lantbruksvetenskap och veterinärmedicin
https://id.kb.se/term/uka/401,,"Agriculture, Forestry and Fisheries","Lantbruksvetenskap, skogsbruk och fiske"
https://id.kb.se/term/uka/40101,,Agricultural Science,Jordbruksvetenskap
https://id.kb.se/term/uka/40102,,Horticulture,Trädgårdsvetenskap/hortikultur
https://id.kb.se/term/uka/40103,,Food Science,Livsmedelsvetenskap
https://id.kb.se/term/uka/40104,,Forest Science,Skogsvetenskap
https://id.kb.se/term/uka/40105,,Wood Science,Trävetenskap
https://id.kb.se/term/uka/40106,,Soil Science,Markvetenskap
https://id.kb.se/term/uka/40107,,Fish and Aquacultural Science,Fisk- och akvakulturforskning
https://id.kb.se/term/uka/40108,,Landscape Architecture,Landskapsarkitektur
https://id.kb.se/term/uka/402,,Animal and Dairy Sience,Husdjursvetenskap
https://id.kb.se/term/uka/40201,,Animal and Dairy Science.,Husdjursvetenskap
https://id.kb.se/term/uka/403,,Veterinary Science,Veterinärmedicin
https://id.kb.se/term/uka/40301,,Medical Bioscience,Medicinsk biovetenskap
https://id.kb.se/term/uka/40302,,Pathobiology,Patobiologi
https://id.kb.se/term/uka/40303,,Clinical Science,Klinisk vetenskap
https://id.kb.se/term/uka/40304,,Other Veterinary Science,Annan veterinärmedicin
https://id.kb.se/term/uka/404,,Agricultural Biotechnology,Bioteknologi med applikationer på växter och djur
https://id.kb.se/term/uka/40401,,Plant Biotechnology,Växtbioteknologi
https://id.kb.se/term/uka/40402,,Genetics and Breeding in Agricultural Sciences,Genetik och förädling inom lantbruksvetenskap
https://id.kb.se/term/uka/405,,Other Agricultural Sciences,Annan lantbruksvetenskap
https://id.kb.se/term/uka/40501,,Renewable Bioenergy Research,Förnyelsebar bioenergi
https://id.kb.se/term/uka/40502,,Fish and Wildlife Management,Vilt- och fiskeförvaltning
https://id.kb.se/term/uka/40503,,Agricultural Occupational Health and Safety,Lantbrukets arbetsmiljö och säkerhet
https://id.kb.se/term/uka/40504,,Environmental Sciences related to Agriculture and Land-use,Miljö- och  naturvårdsvetenskap
https://id.kb.se/term/uka/40599,,Other Agricultural Sciences not elsewhere specified,Övrig annan lantbruksvetenskap
https://id.kb.se/term/uka/5,,Social Sciences,Samhällsvetenskap
https://id.kb.se/term/uka/501,,Psychology,Psykologi
