uri,notation,label_sv,label_en
https://id.kb.se/term/ssif/302,,Klinisk medicin,Clinical Medicine
https://id.kb.se/term/ssif/30201,,Anestesi och intensivvård,Anesthesiology and Intensive Care
https://id.kb.se/term/ssif/30202,,Hematologi,Hematology
https://id.kb.se/term/ssif/30203,,Cancer och onkologi,Cancer and Oncology
https://id.kb.se/term/ssif/30204,,Dermatologi och venereologi,Dermatology and Venereal Diseases
https://id.kb.se/term/ssif/30205,,Endokrinologi och diabetes,Endocrinology and Diabetes
https://id.kb.se/term/ssif/30206,,Kardiologi,Cardiac and Cardiovascular Systems
https://id.kb.se/term/ssif/30207,,Neurologi,Neurology
https://id.kb.se/term/ssif/30208,,Radiologi och bildbehandling,"Radiology, Nuclear Medicine and Medical Imaging"
https://id.kb.se/term/ssif/30209,,Infektionsmedicin,Infectious Medicine
https://id.kb.se/term/ssif/30210,,Reumatologi och inflammation,Rheumatology and Autoimmunity
https://id.kb.se/term/ssif/30211,,Ortopedi,Orthopaedics
https://id.kb.se/term/ssif/30212,,Kirurgi,Surgery
https://id.kb.se/term/ssif/30213,,Gastroenterologi,Gastroenterology and Hepatology
https://id.kb.se/term/ssif/30214,,Urologi och njurmedicin,Urology and Nephrology
https://id.kb.se/term/ssif/30215,,Psykiatri,Psychiatry
https://id.kb.se/term/ssif/30216,,Odontologi,Dentistry
https://id.kb.se/term/ssif/30217,,Oftalmologi,Ophthalmology
https://id.kb.se/term/ssif/30218,,Oto-rhino-laryngologi,Otorhinolaryngology
https://id.kb.se/term/ssif/30219,,Lungmedicin och allergi,Respiratory Medicine and Allergy
https://id.kb.se/term/ssif/30220,,Reproduktionsmedicin och gynekologi,"Obstetrics, Gynaecology and Reproductive Medicine"
https://id.kb.se/term/ssif/30221,,Pediatrik,Pediatrics
https://id.kb.se/term/ssif/30222,,Geriatrik,Geriatrics
https://id.kb.se/term/ssif/30223,,Klinisk laboratoriemedicin,Clinical Laboratory Medicine
https://id.kb.se/term/ssif/30224,,Allmänmedicin,General Practice
https://id.kb.se/term/ssif/30299,,Annan klinisk medicin,Other Clinical Medicine
https://id.kb.se/term/ssif/303,,Hälsovetenskap,Health Sciences
https://id.kb.se/term/ssif/30301,,"Hälso- och sjukvårdsorganisation, hälsopolitik och hälsoekonomi","Health Care Service and Management, Health Policy and Services and Health Economy"
https://id.kb.se/term/ssif/30302,,"Folkhälsovetenskap, global hälsa, socialmedicin och epidemiologi","Public Health, Global Health, Social Medicine and Epidemiology"
https://id.kb.se/term/ssif/30303,,Arbetsmedicin och miljömedicin,Occupational Health and Environmental Health
https://id.kb.se/term/ssif/30304,,Näringslära,Nutrition and Dietetics
https://id.kb.se/term/ssif/30305,,Omvårdnad,Nursing
https://id.kb.se/term/ssif/30306,,Arbetsterapi,Occupational Therapy
https://id.kb.se/term/ssif/30307,,Sjukgymnastik,Physiotherapy
https://id.kb.se/term/ssif/30308,,Idrottsvetenskap,Sport and Fitness Sciences
https://id.kb.se/term/ssif/30309,,Beroendelära,Substance Abuse
https://id.kb.se/term/ssif/30310,,Medicinsk etik,Medical Ethics
https://id.kb.se/term/ssif/30399,,Annan hälsovetenskap,Other Health Sciences
https://id.kb.se/term/ssif/304,,Medicinsk bioteknologi,Medical Biotechnology
https://id.kb.se/term/ssif/30401,,"Medicinsk bioteknologi (inriktn. mot cellbiologi (inkl. stamcellsbiologi), molekylärbiologi, mikrobiologi, biokemi eller biofarmaci)","Medical Biotechnology (focus on Cell Biology (incl. Stem Cell Biology), Molecular Biology, Microbiology, Biochemistry or Biopharmacy)"
https://id.kb.se/term/ssif/30402,,Biomedicinsk laboratorievetenskap/teknologi,Biomedical Laboratory Science/Technology
https://id.kb.se/term/ssif/30403,,Biomaterialvetenskap,Biomaterials Science
https://id.kb.se/term/ssif/30499,,Annan medicinsk bioteknologi,Other Medical Biotechnology
https://id.kb.se/term/ssif/305,,Annan medicin och hälsovetenskap,Other Medical and Health Sciences
https://id.kb.se/term/ssif/30501,,Rättsmedicin,Forensic Science
https://id.kb.se/term/ssif/30502,,"Gerontologi, medicinsk/hälsovetenskaplig inriktning  (Samhällsvetenskaplig inriktn.under 50999)","Gerontology, specialising in Medical and Health Sciences (specialising in Social Sciences to be 50999)"
https://id.kb.se/term/ssif/30599,,Övrig annan medicin och hälsovetenskap,Other Medical and Health Sciences not elsewhere specified
https://id.kb.se/term/ssif/4,,Lantbruksvetenskap och veterinärmedicin,Agricultural and Veterinary sciences
https://id.kb.se/term/ssif/401,,"Lantbruksvetenskap, skogsbruk och fiske","Agriculture, Forestry and Fisheries"
https://id.kb.se/term/ssif/40101,,Jordbruksvetenskap,Agricultural Science
https://id.kb.se/term/ssif/40102,,Trädgårdsvetenskap/hortikultur,Horticulture
https://id.kb.se/term/ssif/40103,,Livsmedelsvetenskap,Food Science
https://id.kb.se/term/ssif/40104,,Skogsvetenskap,Forest Science
https://id.kb.se/term/ssif/40105,,Trävetenskap,Wood Science
https://id.kb.se/term/ssif/40106,,Markvetenskap,Soil Science
https://id.kb.se/term/ssif/40107,,Fisk- och akvakulturforskning,Fish and Aquacultural Science
https://id.kb.se/term/ssif/40108,,Landskapsarkitektur,Landscape Architecture
https://id.kb.se/term/ssif/402,,Husdjursvetenskap,Animal and Dairy Sience
https://id.kb.se/term/ssif/40201,,Husdjursvetenskap,Animal and Dairy Science.
https://id.kb.se/term/ssif/403,,Veterinärmedicin,Veterinary Science
https://id.kb.se/term/ssif/40301,,Medicinsk biovetenskap,Medical Bioscience
https://id.kb.se/term/ssif/40302,,Patobiologi,Pathobiology
https://id.kb.se/term/ssif/40303,,Klinisk vetenskap,Clinical Science
https://id.kb.se/term/ssif/40304,,Annan veterinärmedicin,Other Veterinary Science
https://id.kb.se/term/ssif/404,,Bioteknologi med applikationer på växter och djur,Agricultural Biotechnology
https://id.kb.se/term/ssif/40401,,Växtbioteknologi,Plant Biotechnology
https://id.kb.se/term/ssif/40402,,Genetik och förädling inom lantbruksvetenskap,Genetics and Breeding in Agricultural Sciences
https://id.kb.se/term/ssif/405,,Annan lantbruksvetenskap,Other Agricultural Sciences
https://id.kb.se/term/ssif/40501,,Förnyelsebar bioenergi,Renewable Bioenergy Research
https://id.kb.se/term/ssif/40502,,Vilt- och fiskeförvaltning,Fish and Wildlife Management
https://id.kb.se/term/ssif/40503,,Lantbrukets arbetsmiljö och säkerhet,Agricultural Occupational Health and Safety
https://id.kb.se/term/ssif/40504,,Miljö- och  naturvårdsvetenskap,Environmental Sciences related to Agriculture and Land-use
https://id.kb.se/term/ssif/40599,,Övrig annan lantbruksvetenskap,Other Agricultural Sciences not elsewhere specified
https://id.kb.se/term/ssif/5,,Samhällsvetenskap,Social Sciences
https://id.kb.se/term/ssif/501,,Psykologi,Psychology
https://id.kb.se/term/ssif/50101,,Psykologi  (exklusive tillämpad psykologi),Psychology (excluding Applied Psychology)
https://id.kb.se/term/ssif/50102,,Tillämpad psykologi,Applied Psychology
https://id.kb.se/term/ssif/502,,Ekonomi och näringsliv,Economics and Business
https://id.kb.se/term/ssif/50201,,Nationalekonomi,Economics
https://id.kb.se/term/ssif/50202,,Företagsekonomi,Business Administration
https://id.kb.se/term/ssif/50203,,Ekonomisk historia,Economic History
https://id.kb.se/term/ssif/503,,Utbildningsvetenskap,Educational Sciences
https://id.kb.se/term/ssif/50301,,Pedagogik,Pedagogy
https://id.kb.se/term/ssif/50302,,Didaktik,Didactics
https://id.kb.se/term/ssif/50303,,Lärande,Learning
https://id.kb.se/term/ssif/50304,,Pedagogiskt arbete,Pedagogical Work
https://id.kb.se/term/ssif/504,,Sociologi,Sociology
https://id.kb.se/term/ssif/50401,,"Sociologi (exklusive socialt arbete, socialpsykologi och socialantropologi)","Sociology (excluding Social Work, Social Psychology and Social Anthropology)"
https://id.kb.se/term/ssif/50402,,Socialt arbete,Social Work
https://id.kb.se/term/ssif/50403,,Socialpsykologi,Social Psychology
https://id.kb.se/term/ssif/50404,,Socialantropologi,Social Anthropology
https://id.kb.se/term/ssif/505,,Juridik,Law
https://id.kb.se/term/ssif/50501,,Juridik (exklusive juridik och samhälle),Law (excluding Law and Society)
https://id.kb.se/term/ssif/50502,,Juridik och samhälle,Law and Society
https://id.kb.se/term/ssif/506,,Statsvetenskap,Political Science
https://id.kb.se/term/ssif/50601,,Statsvetenskap (exklusive studier av offentlig förvaltning och globaliseringsstudier),Political Science (excluding Public Administration Studies and Globalisation Studies)
https://id.kb.se/term/ssif/50602,,Studier av offentlig förvaltning,Public Administration Studies
https://id.kb.se/term/ssif/50603,,Globaliseringsstudier,Globalisation Studies
https://id.kb.se/term/ssif/507,,Social och ekonomisk geografi,Social and Economic Geography
https://id.kb.se/term/ssif/50701,,Kulturgeografi,Human Geography
https://id.kb.se/term/ssif/50702,,Ekonomisk geografi,Economic Geography
https://id.kb.se/term/ssif/508,,Medie- och kommunikationsvetenskap,Media and Communications
https://id.kb.se/term/ssif/50801,,Medievetenskap,Media Studies
https://id.kb.se/term/ssif/50802,,Kommunikationsvetenskap,Communication Studies
https://id.kb.se/term/ssif/50803,,Mänsklig interaktion med IKT,Human Aspects of ICT
https://id.kb.se/term/ssif/50804,,"Systemvetenskap, informationssystem och informatik med samhällsvetenskaplig inriktning","Information Systems, Social aspects"
https://id.kb.se/term/ssif/50805,,Biblioteks-och informationsvetenskap,Information Studies
https://id.kb.se/term/ssif/509,,Annan samhällsvetenskap,Other Social Sciences
https://id.kb.se/term/ssif/50901,,Tvärvetenskapliga studier inom samhällsvetenskap,Social Sciences Interdisciplinary
https://id.kb.se/term/ssif/50902,,Genusstudier,Gender Studies
https://id.kb.se/term/ssif/50903,,Arbetslivsstudier,Work Sciences
https://id.kb.se/term/ssif/50904,,Internationell migration och etniska relationer (IMER),International Migration and Ethnic Relations
https://id.kb.se/term/ssif/50999,,Övrig annan samhällsvetenskap,Other Social Sciences not elsewhere specified
https://id.kb.se/term/ssif/6,,Humaniora och konst,Humanities and the Arts
https://id.kb.se/term/ssif/601,,Historia och arkeologi,History and Archaeology
https://id.kb.se/term/ssif/60101,,Historia,History
https://id.kb.se/term/ssif/60102,,Teknikhistoria,History of Technology
https://id.kb.se/term/ssif/60103,,Arkeologi,Archaeology
https://id.kb.se/term/ssif/602,,Språk och litteratur,Languages and Literature
https://id.kb.se/term/ssif/60201,,Jämförande språkvetenskap och allmän lingvistik,General Language Studies and Linguistics
https://id.kb.se/term/ssif/60202,,Studier av enskilda språk,Specific Languages
https://id.kb.se/term/ssif/60203,,Litteraturvetenskap,General Literary studies
https://id.kb.se/term/ssif/60204,,Litteraturstudier,Specific Literatures
https://id.kb.se/term/ssif/603,,"Filosofi, etik och religion","Philosophy, Ethics and Religion"
https://id.kb.se/term/ssif/60301,,Filosofi,Philosophy
https://id.kb.se/term/ssif/60302,,Etik,Ethics
https://id.kb.se/term/ssif/60303,,Religionsvetenskap,Religious Studies
https://id.kb.se/term/ssif/60304,,Religionshistoria,History of Religions
https://id.kb.se/term/ssif/60305,,Idé- och lärdomshistoria,History of Ideas
https://id.kb.se/term/ssif/604,,Konst,Arts
https://id.kb.se/term/ssif/60401,,Bildkonst,Visual Arts
https://id.kb.se/term/ssif/60402,,Musik,Music
https://id.kb.se/term/ssif/60403,,Litterär gestaltning,Literary Composition
https://id.kb.se/term/ssif/60404,,Scenkonst,Performing Arts
https://id.kb.se/term/ssif/60405,,Arkitektur,Architecture
https://id.kb.se/term/ssif/60406,,Design,Design
https://id.kb.se/term/ssif/60407,,Konstvetenskap,Art History
https://id.kb.se/term/ssif/60408,,Musikvetenskap,Musicology
https://id.kb.se/term/ssif/60409,,Teatervetenskap,Performing Art Studies
https://id.kb.se/term/ssif/60410,,Filmvetenskap,Studies on Film
https://id.kb.se/term/ssif/605,,Annan humaniora,Other Humanities
https://id.kb.se/term/ssif/60501,,Antikvetenskap,Classical Archaeology and Ancient History
https://id.kb.se/term/ssif/60502,,Kulturstudier,Cultural Studies
https://id.kb.se/term/ssif/60503,,Etnologi,Ethnology
https://id.kb.se/term/ssif/60599,,Övrig annan humaniora,Other Humanities not elsewhere specified
