"level1","level2","level3","sv","en"
,,20703,"Jordobservationsteknik","Earth Observation"
,,,"Här ingår:","Including:"
,,,"teknik för fjärranalys","Remote Sensing"
,,,"geodesi","Geodesy"
,,,"geofysisk teknik","Geophysical Engineering"
,,,"geografisk informationsteknik","Geographical information technology"
,,20704,"Mineral- och gruvteknik","Mineral and Mine Engineering"
,,20705,"Marinteknik","Marine Engineering"
,,,"Här ingår:","Including:"
,,,"Havs- och vattendragsteknik","Ocean and River Engineering"
,,20707,"Miljöteknik och miljöledning","Environmental Management"
,,20799,"Annan naturresursteknik","Other Environmental Engineering"
,208,,"Miljöbioteknik","Environmental Biotechnology"
,,20801,"Biosanering","Bioremediation"
,,20802,"Diagnostisk bioteknologi","Diagnostic Biotechnology"
,,20803,"Vattenbehandlingsbioteknik","Water Treatment"
,,20899,"Annan miljöbioteknik","Other Environmental Biotechnology"
,209,,"Industriell bioteknik","Industrial Biotechnology"
,,20901,"Bioprocessteknik","Bioprocess Technology"
,,,"Här ingår:","Including:"
,,,"Bioteknisk apparatteknik","Bioengineering Equipment"
,,20902,"Biokemikalier","Biochemicals"
,,20903,"Biomaterial","Bio Materials"
,,20904,"Bioenergi","Bioenergy"
,,20905,"Läkemedel- och medicinsk processbioteknik","Pharmaceutical and Medical Biotechnology"
,,20906,"Biokatalys och enzymteknik","Biocatalysis and Enzyme Technology"
,,20909,"Livsmedelsbioteknik","Food Biotechnology"
,,20999,"Annan industriell bioteknik","Other Industrial Biotechnology"
,210,,"Nanoteknik","Nano-technology"
,,21002,"Nanoteknisk elektronik","Nanotechnology for Electronic Applications"
,,21003,"Nanoteknisk materialvetenskap","Nanotechnology for Material Science"
,,21004,"Nanotekniska energitillämpningar","Nanotechnology for Energy Applications"
,,21005,"Nanotekniska livsvetenskaper och medicin","Nanotechnology for/in Life Science and Medicine"
,,21099,"Annan nanoteknik","Other Nanotechnology"
,211,,"Annan teknik","Other Engineering and Technologies"
,,21199,"Annan teknik","Other Engineering and Technologies"
3,,,"Medicin och hälsovetenskap","Medical and Health Sciences "
,301,,"Medicinska och farmaceutiska grundvetenskaper","Basic Medicine"
,,30101,"Farmaceutiska vetenskaper","Pharmaceutical Sciences"
,,30102,"Farmakologi och toxikologi","Pharmacology and Toxicology"
,,30103,"Läkemedelskemi (Naturvetenskaplig inriktning under 10405)","Medicinal Chemistry (Natural Sciences at 10405)"
,,30104,"Samhällsfarmaci och klinisk farmaci","Social and Clinical Pharmacy"
,,30105,"Neurovetenskaper","Neurosciences"
,,30106,"Fysiologi och anatomi","Physiology and Anatomy"
,,30107,"Medicinsk genetik och genomik","Medical Genetics and Genomics"
,,,"Här ingår:","Including:"
,,,"Genterapi","Gene Therapy"
,,30108,"Cell- och molekylärbiologi","Cell and Molecular Biology"
,,30109,"Mikrobiologi inom det medicinska området","Microbiology in the Medical Area"
,,30110,"Immunologi inom det medicinska området","Immunology in the Medical Area"
,,,"Här ingår:","Including:"
,,,"Cell- och immunterapi ","Cell and Immunotherapy"
,,30111,"Medicinska biovetenskaper","Medical Life Sciences"
,,,"Här ingår:","Including:"
,,,"Patologi och biokemi","Pathology and Biochemistry"
,,30112,"Basal cancerforskning","Basic Cancer Research"
